wals code	name	value	description	latitude	longitude	genus	family	area
bur	Burushaski	3	Core and non-core	36.5	74.5	Burushaski	Burushaski	Morphology
cah	Cahuilla	4	No syncretism	33.5	-116.25	Northern Uto-Aztecan	Uto-Aztecan	Morphology
cnl	Canela	1	No case marking	-7.0	-45.0	Je Setentrional	Macro-Ge	Morphology
car	Carib	1	No case marking	5.5	-56.0	Cariban	Cariban	Morphology
cyv	Cayuvava	1	No case marking	-13.5	-65.5	Cayuvava	Cayuvava	Morphology
cha	Chamorro	1	No case marking	13.45	144.75	Chamorro	Austronesian	Morphology
cle	Chinantec (Lealao)	1	No case marking	17.3333333333	-95.9166666667	Chinantecan	Oto-Manguean	Morphology
chk	Chukchi	3	Core and non-core	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Morphology
ccp	Cocopa	4	No syncretism	32.3333333333	-115.0	Yuman	Hokan	Morphology
cmn	Comanche	3	Core and non-core	33.5	-101.5	Northern Uto-Aztecan	Uto-Aztecan	Morphology
coo	Coos (Hanis)	1	No case marking	43.5	-124.166666667	Coosan	Oregon Coast	Morphology
cre	Cree (Plains)	1	No case marking	54.0	-110.0	Algonquian	Algic	Morphology
dag	Daga	1	No case marking	-10.0	149.333333333	Dagan	Trans-New Guinea	Morphology
dni	Dani (Lower Grand Valley)	1	No case marking	-4.33333333333	138.833333333	Dani	Trans-New Guinea	Morphology
dio	Diola-Fogny	1	No case marking	13.0	-16.25	Jola	Niger-Congo	Morphology
dre	Drehu	1	No case marking	-21.0	167.25	Oceanic	Austronesian	Morphology
